City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
159,Mar del Plata,0,AR,1659388814,90,-38.0023,-57.5575,56.08,5.75
160,Semporna,100,MY,1659388919,83,4.4818,118.6112,78.91,2.08
161,Ulladulla,1,AU,1659388919,76,-35.35,150.4667,46.08,6.96
162,Myitkyina,95,MM,1659388920,99,25.3833,97.4,74.52,1.19
163,Klaksvík,44,FO,1659388920,87,62.2266,-6.589,50.92,13.44
164,Sukumo,99,JP,1659388920,96,32.9333,132.7333,77.94,3.02
165,Deputatsky,100,RU,1659388921,92,69.3,139.9,49.77,2.73
166,Nyimba,0,ZM,1659388921,44,-14.5566,30.8149,68.77,13.47
167,Taoudenni,58,ML,1659388871,7,22.6783,-3.9836,104.45,9.78
168,Khatanga,100,RU,1659388922,76,71.9667,102.5,45.05,7.31
169,Charters Towers,64,AU,1659388922,97,-20.1,146.2667,59.54,6.24
170,Tocopilla,8,CL,1659388913,70,-22.092,-70.1979,63.27,7.16
171,Pacific Grove,0,US,1659388922,76,36.6177,-121.9166,82.08,8.01
172,Tūkrah,0,LY,1659388923,74,32.5341,20.5791,79.95,9.33
173,Binzhou,0,CN,1659388923,83,37.3667,118.0167,75.83,5.03
174,Nikolskoye,100,RU,1659388923,98,59.7035,30.7861,61.88,11.36
175,Carnarvon,65,AU,1659388924,61,-24.8667,113.6333,66.52,21.56
176,Hachinohe,100,JP,1659388924,93,40.5,141.5,74.14,8.75
177,Alyangula,12,AU,1659388924,88,-13.8483,136.4192,71.02,7.49
178,Baláo,70,EC,1659388925,69,-2.9167,-79.8167,77.95,5.17
179,Dawson Creek,20,CA,1659388925,57,55.7666,-120.2362,74.84,9.22
180,Faanui,39,PF,1659388926,67,-16.4833,-151.75,78.35,24.54
181,Launceston,52,AU,1659388926,87,-41.45,147.1667,47.8,13.8
182,Dunedin,83,NZ,1659388926,61,-45.8742,170.5036,53.92,13.11
183,Upernavik,100,GL,1659388927,62,72.7868,-56.1549,46.4,2.95
184,Lavrentiya,86,RU,1659388927,71,65.5833,-171.0,50.49,2.77
185,Nanortalik,100,GL,1659388927,80,60.1432,-45.2371,46.6,1.19
186,Camocim,48,BR,1659388928,70,-2.9022,-40.8411,81.03,17.76
187,Lubango,95,AO,1659388928,39,-14.9172,13.4925,51.04,4.0
188,Lázaro Cárdenas,21,MX,1659388928,67,17.9583,-102.2,87.04,12.06
189,Bengkulu,81,ID,1659388929,92,-3.8004,102.2655,74.84,4.45
190,Narsaq,100,GL,1659388929,72,60.9167,-46.05,57.42,8.37
191,Price,75,US,1659388929,34,39.5994,-110.8107,85.12,11.5
192,Hibbing,100,US,1659388930,60,47.4272,-92.9377,81.39,3.44
193,Tombouctou,14,ML,1659388930,15,20.0,-3.0,103.15,7.56
194,Salalah,100,OM,1659388843,94,17.0151,54.0924,77.09,6.91
195,Flinders,0,AU,1659388931,63,-34.5833,150.8552,52.18,7.0
196,Banjar,100,ID,1659388931,89,-8.19,114.9675,75.47,1.79
197,Tual,99,ID,1659388931,80,-5.6667,132.75,79.39,18.63
198,Tunceli,0,TR,1659388932,26,39.1083,39.5471,77.32,6.15
199,Bairiki Village,40,KI,1659388932,70,1.3292,172.9752,84.2,17.27
200,Castro,14,BR,1659388932,75,-24.7911,-50.0119,59.11,2.48
201,Tasiilaq,19,GL,1659388933,60,65.6145,-37.6368,44.76,1.79
202,Katghora,88,IN,1659388933,80,22.5,82.55,78.69,3.49
203,Katsuura,100,JP,1659388933,89,35.1333,140.3,80.19,10.13
204,Cherskiy,95,RU,1659388934,41,68.75,161.3,67.14,22.77
205,Ixtapa,40,MX,1659388934,62,20.7,-105.2,92.23,9.22
206,Nigrán,0,ES,1659388934,60,42.1415,-8.8066,83.17,2.3
207,Clyde River,100,CA,1659388935,87,70.4692,-68.5914,41.23,9.22
208,Mount Isa,32,AU,1659388935,58,-20.7333,139.5,51.57,0.0
209,Tonstad,29,NO,1659388935,83,58.6626,6.7169,48.06,3.67
210,Kibala,40,TD,1659388935,100,9.1104,18.3463,73.35,4.61
211,Yenagoa,67,NG,1659388936,88,4.9247,6.2642,73.49,4.34
212,Palmer,75,US,1659388936,68,42.1584,-72.3287,81.52,9.22
213,Petropavlovsk-Kamchatskiy,20,RU,1659388937,88,53.0452,158.6483,55.99,4.47
214,Alofi,40,NU,1659388937,73,-19.0595,-169.9187,78.69,8.05
215,Khorramshahr,5,IR,1659388937,70,30.4397,48.1664,93.16,4.61
216,Kjøllefjord,0,NO,1659388938,94,70.9457,27.3465,53.42,1.14
217,College,75,US,1659388938,58,64.8569,-147.8028,71.58,6.91
218,Wanaka,98,NZ,1659388938,99,-44.7,169.15,40.05,8.43
219,Okha,100,RU,1659388939,87,53.5739,142.9478,57.45,16.78
220,Choma,0,ZM,1659388939,42,-16.8065,26.9531,58.86,7.81
221,San Joaquin,0,US,1659388939,29,37.9333,-121.3011,89.53,8.05
222,Vila Franca do Campo,89,PT,1659388940,79,37.7167,-25.4333,72.01,2.37
223,Merauke,58,ID,1659388940,92,-8.4667,140.3333,76.15,11.12
224,Montes Claros,0,BR,1659388940,34,-16.735,-43.8617,80.38,11.5
225,Cabadiangan,99,PH,1659388941,88,9.7531,122.4739,76.23,3.83
226,Waddān,0,LY,1659388941,43,29.1614,16.139,85.75,14.61
227,Hualmay,53,PE,1659388941,73,-11.0964,-77.6139,65.5,11.01
228,Huanren,2,CN,1659388942,98,41.2647,125.3667,72.27,0.67
229,Caxito,30,AO,1659388942,93,-8.5785,13.6643,65.08,3.51
